date,expected_revenue,realized_revenue,cvar_zeta,cvar_value,cycles
2025-02-01,1364687.2582259143,1090050.6512355665,1045818.5,1037400.35316,1.8862
2025-02-02,793195.5047931422,350411.8139216112,214772.49,80467.58217999998,1.4230500000000001
2025-02-03,1173508.2004539534,1282968.5808519311,848900.68,796434.25748,1.8862
2025-02-04,1352628.681763607,1273128.6357857601,1102331.2,1019535.48658,1.8862
2025-02-05,1454790.1500859258,1349970.3742408718,1112082.4,1052689.0764199998,1.8862
2025-02-06,1299849.7658111711,1327861.173117678,498849.85,263657.45332,1.5737
2025-02-07,1234495.4222459588,1137112.3732859066,585963.01,361149.51780000003,1.875
2025-02-08,1062736.8248427697,839991.8845220503,710356.46,695973.11136,1.7043098999999997
2025-02-09,671346.2875033381,365784.8810423173,248685.73,172173.23934,0.9944297093750001
2025-02-10,1101252.4027715863,1394944.6581617934,835629.24,717424.5012,1.5737
2025-02-11,1599185.6108586767,1559649.349137645,1247043.2,1142202.5742,1.5993896125
2025-02-12,1188644.2696207215,1140164.4433526865,858985.99,798337.7079999999,1.5737
2025-02-13,1399410.9947157868,1437973.9360210288,1086068.8,963993.2042,1.8862
2025-02-14,1171269.5042401787,1159130.4101861492,768528.84,649234.8631999999,1.7043098999999997
2025-02-15,1384627.3596796205,777041.096566935,380971.33,42862.80600000001,1.5625
2025-02-16,522071.0008806925,2908.0752092990006,52052.053,-126570.30728000002,0.9375
2025-02-17,944547.985073779,1186381.4966271885,661004.63,631654.25382,1.8862
2025-02-18,1476255.2198897032,1438243.4480535227,1105519.7,1035380.1982,1.8862
2025-02-19,1411185.9545139521,1498465.0165861833,1035280.9,943798.775,1.8974
2025-02-20,1289171.3859071797,1432741.5998501913,869033.9,744113.8822,1.8862
2025-02-21,1544520.2466824362,1912308.0337537574,1222658.4,1098555.7211999998,1.8974
2025-02-22,1491421.57214611,1822231.8015049247,1199306.4,1083128.5433999998,1.8974
2025-02-23,800239.302585836,744661.0901241872,235192.09,156755.57799999998,1.09935
2025-02-24,1240742.986631888,1307416.549869174,658875.91,447054.1852,1.25
2025-02-25,1041502.2552211147,1165353.107882016,588631.19,450774.64599999995,1.50001980625
2025-02-26,1103371.0332888039,1050588.366631857,359348.48,97044.49339999995,1.5625
2025-02-27,1038016.4649817583,997049.7587695738,137296.62,-129937.75800000003,0.9375
2025-02-28,829551.894224696,1165270.951068426,231397.12,90309.94199999998,1.5737
2025-03-01,819313.6093573362,909472.1727457277,403899.63,257735.058,1.5625
2025-03-02,611128.7497542881,538183.6947138676,339325.73,325740.64914399997,1.25
2025-03-03,1166774.2678278121,1244499.7575795304,897095.64,808637.977,1.8862
2025-03-04,1186172.9869972954,1056994.9577472385,902633.56,831947.7008,1.8862
2025-03-05,1685247.312835666,1576549.382698844,822735.17,371554.8178,1.5737
2025-03-06,1377322.6564512292,1002236.4060797765,811579.51,667301.11042,1.875
2025-03-07,1346253.7288673087,1399429.8325561883,486201.1,124680.00799999996,1.25
2025-03-08,1029065.1837584386,960923.5878692211,675587.69,602019.9149999999,1.3806099
2025-03-09,829630.0540131793,916432.9207024842,446772.69,419584.22568000003,1.25
2025-03-10,832601.8445148534,729825.033803333,586374.92,531636.2258,1.5625
2025-03-11,1039610.7994670421,959812.112376371,737686.94,714317.1453999999,1.5625
2025-03-12,1079200.643310177,1111387.0997477279,210562.05,-38937.71460000005,1.09935
2025-03-13,1283014.4694067293,992260.3943927166,271773.27,124139.11080000002,0.9944297093750001
2025-03-14,2043674.558314251,488592.7807952565,936485.46,713193.0713999999,0.9487
2025-03-15,708444.6694796949,634246.2438285762,155280.65,77754.38739999998,0.47435
2025-03-16,267350.3744570231,559243.310489416,120302.74,97396.56341999999,0.9487
2025-03-17,501418.52168049524,505815.76874435187,216214.3,153273.64219999994,0.9944297093750001
2025-03-18,965913.9196205258,531494.3260270013,542193.81,450320.78260000004,1.2299599
2025-03-19,1168024.6704269527,1035998.3773785916,251949.3,70277.58799999997,1.3806099
2025-03-20,1537799.0049348096,1342791.286794266,502446.1,163005.1644,1.6931099
