date,expected_revenue,realized_revenue,cvar_zeta,cvar_value,cycles
2025-02-01,1427223.6710204782,1165507.780320604,1133009.6,1103436.86,1.8862
2025-02-02,723131.6733663795,407988.67035417573,214147.95,56991.194659999994,1.4230500000000001
2025-02-03,1172552.8144247793,1255735.2590640518,809916.14,733100.5756000002,1.8862
2025-02-04,1469595.5698162706,1326694.3717067793,1151926.9,1080724.297,1.8862
2025-02-05,1576621.5215017106,1403902.626136447,1218309.2,1075189.084,1.8862
2025-02-06,1270044.825377127,1319931.677999962,571299.86,165106.84600000002,1.5737
2025-02-07,1101222.1212085872,1055130.7896989787,634031.98,503282.25619999995,1.875
2025-02-08,1041527.9781251427,943773.8606382778,759707.95,665193.6386,1.7043098999999997
2025-02-09,670444.3165701613,399108.7884249603,293178.94,181122.5474,0.9944297093750001
2025-02-10,1152028.128440446,1458507.9815965183,908020.94,809388.6015999999,1.5737
2025-02-11,1756758.5683248292,1714484.2447938968,1346025.3,1312502.3792000003,1.5993896125
2025-02-12,1215741.5905325674,1178433.1590985977,898355.45,800113.069,1.5737
2025-02-13,1405709.5429239057,1414425.8816210947,1074517.8,1003573.0264200002,1.8862
2025-02-14,1167842.0331956486,1195883.5692617209,812326.99,716461.6832,1.7043098999999997
2025-02-15,1287751.0199640421,775017.0977174129,322172.5,14080.039999999994,1.5625
2025-02-16,471459.3743235356,77617.6027315051,-11675.026,-142441.5448,0.9375
2025-02-17,962141.7307626542,1211747.2587748936,694349.69,615707.3668,1.8862
2025-02-18,1628686.229856571,1494098.6465709454,1175819.6,1092746.1402,1.8862
2025-02-19,1511231.7309223427,1561860.1385089557,1115266.4,1027327.4244399999,1.8974
2025-02-20,1303903.0789446624,1508257.689312852,915393.09,837384.3698800001,1.8862
2025-02-21,1539124.8599978301,1887342.4877301948,1217495.8,1185827.18,1.8974
2025-02-22,1598789.4301976329,1968815.3872956238,1148440.5,1130199.3788,1.8974
2025-02-23,767288.8083361846,751466.8741564968,213331.86,175887.287,1.09935
2025-02-24,1119298.4132557237,1240016.2304716522,561660.58,421141.73039999994,1.25
2025-02-25,1037678.5650802407,1109960.1066485757,698720.38,566702.4234,1.50001980625
2025-02-26,1065765.319267562,1022182.4478605031,306837.31,43126.5932,1.5625
2025-02-27,1003304.1527567084,1006009.8058003407,-15773.006,-133141.26476000002,0.9375
2025-02-28,803083.8136743132,1004270.2693870004,190916.63,67714.5184,1.5737
2025-03-01,783660.1594192162,748009.7207949256,471774.34,441973.84426000004,1.5625
2025-03-02,566624.8268782927,517155.83141924924,280383.53,265306.917382,1.25
2025-03-03,1175338.5169770357,1238984.664261003,917646.43,829202.1466,1.8862
2025-03-04,1165493.2879845493,1009594.4707648476,854492.47,832190.9619999999,1.8862
2025-03-05,1500805.1780479788,1562109.2133908106,840396.07,500480.81999999995,1.5737
2025-03-06,1317447.719928103,978891.1659930643,774116.1,688432.04416,1.875
2025-03-07,1228926.4251112686,1297678.388147738,574912.79,460406.716,1.25
2025-03-08,1075587.5446887098,958024.5024119767,739034.38,735987.0794,1.3483655374999999
2025-03-09,929946.5794521747,979380.044919547,620144.91,503384.0997999999,1.25
2025-03-10,941416.7779181419,726224.7105810985,673760.48,653582.10028,1.5625
2025-03-11,1142027.2060964545,1011084.5363749907,731154.6,686156.9952,1.5625
2025-03-12,1032596.6048145702,1091473.073339978,243105.12,155195.5464,1.09935
2025-03-13,1210120.1029405736,951797.6704838009,146119.84,-33593.94000000003,0.9944297093750001
2025-03-14,1866204.9322396347,474428.4229939978,870239.63,551667.3224000001,0.9487
2025-03-15,589274.9760283323,546704.9981157653,131592.63,67284.0362,0.47435
2025-03-16,401585.43056852085,543586.7549569308,134832.83,68131.2052,0.9487
2025-03-17,520858.1408353513,465486.6691998613,296972.92,218741.5588,0.9944297093750001
2025-03-18,991161.3304935694,584901.3377346171,598972.43,497314.6276000001,1.2299599
2025-03-19,1116193.4600038575,1094669.3848428696,297763.26,221544.6614,1.3806099
