date,expected_revenue,realized_revenue,cvar_zeta,cvar_value,cycles
2025-02-01,1365203.976452877,1087058.0596701698,0.0,0.0,1.8862
2025-02-02,804558.349282359,349738.6078068713,0.0,-47491.71340000001,1.4230500000000001
2025-02-03,1183441.5049294122,1259657.9150953619,0.0,0.0,1.8862
2025-02-04,1358432.0739195945,1290860.6843144589,0.0,0.0,1.8862
2025-02-05,1468697.218738986,1341102.3332480702,0.0,0.0,1.8862
2025-02-06,1351736.6938901888,1411082.6837070158,0.0,-202417.82800000004,1.5737
2025-02-07,1268871.4083638627,1173938.5655194153,0.0,-77710.176,1.875
2025-02-08,1092602.0052114981,757795.8842934989,0.0,0.0,1.7043098999999997
2025-02-09,677891.9987811444,345826.6325503646,0.0,0.0,0.9944297093750001
2025-02-10,1105889.972329432,1397008.200714714,0.0,0.0,1.5737
2025-02-11,1610719.4290673572,1688246.5951614438,0.0,0.0,1.5993896125
2025-02-12,1211091.7517324071,1173576.6749821373,0.0,0.0,1.5737
2025-02-13,1399528.1004647466,1439357.2983255286,0.0,0.0,1.8862
2025-02-14,1207750.1907402356,1161089.9077332746,0.0,-1549.24872,1.7043098999999997
2025-02-15,1428924.944940536,1011120.5401599212,0.0,-162145.56420000002,1.5625
2025-02-16,526169.8926787201,-7593.446506441323,0.0,-145137.6752,0.9375
2025-02-17,948343.1141650698,1189834.9052964745,0.0,0.0,1.8862
2025-02-18,1481652.8939108956,1469107.887047564,0.0,0.0,1.8862
2025-02-19,1413843.8657539566,1536766.249953904,0.0,0.0,1.8974
2025-02-20,1320581.6060675122,1472001.5865372391,0.0,0.0,1.8862
2025-02-21,1547184.7858421158,1919081.962127746,0.0,0.0,1.8974
2025-02-22,1514081.8554802171,1952898.6195467748,0.0,0.0,1.8974
2025-02-23,831661.6025930815,828277.8908761014,0.0,-233795.8864,1.09935
2025-02-24,1262464.3540504752,1608774.2984361,0.0,-169321.59399999998,1.25
2025-02-25,1049821.5979346088,1211212.7272721145,0.0,0.0,1.50001980625
2025-02-26,1104634.1237218583,1048619.6269958785,0.0,-22989.62198,1.5625
2025-02-27,1045064.2400046035,993804.9789969792,0.0,-193518.82700000002,0.9375
2025-02-28,843319.7833871945,1217108.3047440345,0.0,-4495.92118,1.5737
2025-03-01,836879.1534743703,991640.1796679,0.0,-2004.68,1.5625
2025-03-02,611668.6045032225,533863.164891919,0.0,0.0,1.25
2025-03-03,1166914.5793873433,1245181.8670382367,0.0,0.0,1.8862
2025-03-04,1195172.2591385944,1026157.5795470347,0.0,0.0,1.8862
2025-03-05,1694373.0865083646,1622884.145636229,0.0,-65550.3854,1.5737
2025-03-06,1414855.405202785,988088.5278084901,0.0,0.0,1.875
2025-03-07,1363307.852651582,1418628.438655619,0.0,-152978.464,1.25
2025-03-08,1085144.4724705666,1134764.3882348347,0.0,-28962.362,1.3806099
2025-03-09,833236.9938900269,1027034.206298909,0.0,0.0,1.25
2025-03-10,837358.6045343885,787646.8454077565,0.0,0.0,1.5625
2025-03-11,1045094.6129407892,965626.1665093348,0.0,0.0,1.5625
2025-03-12,1090169.2589705754,1105916.5949588057,0.0,-116777.30320000001,1.09935
2025-03-13,1303843.1722517482,976182.3222052356,0.0,-54365.99600000001,0.9944297093750001
2025-03-14,2048335.457408241,493141.362423455,0.0,0.0,0.9487
2025-03-15,711266.2628889523,668205.1348876398,0.0,-13728.347000000002,0.47435
2025-03-16,276277.09904434043,563616.6926275721,0.0,-6747.284,0.9487
2025-03-17,525241.7046065824,604224.9687984677,0.0,-30859.8499,1.125039609375
2025-03-18,981606.6468891812,596564.9617242357,0.0,0.0,1.2299599
2025-03-19,1193682.645992695,1110204.7968981643,0.0,-200591.08200000002,1.3806099
2025-03-20,1567205.6186038908,1380817.9802190654,0.0,-92761.85284,1.6931099
2025-03-21,1536287.734510257,1736110.1747526014,0.0,-165118.82100000003,1.1250396125
2025-03-22,1732044.480846287,1693942.553038348,0.0,0.0,0.56251980625
2025-03-23,918405.3631708582,114179.14673609915,0.0,-2002.7704000000003,0.9487
2025-03-24,625467.0514730724,546706.971317057,0.0,-727075.6724,1.0681099
2025-03-25,727214.3802380802,539977.0006392734,0.0,-42934.042,1.3806099000000125
2025-03-26,709542.5922652947,986006.8654968176,0.0,0.0,1.09935
2025-03-27,1147215.0342679266,1089395.485122903,0.0,0.0,1.41185
2025-03-28,1127245.3004102246,923167.9445836595,0.0,-373.23642,1.2299599
2025-03-29,1374393.5256920706,2402088.7851850823,0.0,-35776.165400000005,1.41185
2025-03-30,1466634.9407621282,924980.8315150689,0.0,0.0,0.9487
2025-03-31,1790143.7150036627,1473182.6049818923,0.0,-89189.02600000001,1.41185
2025-04-01,946243.7399374875,1762848.0245820133,0.0,-543510.6988000001,1.09935
2025-04-02,1093547.2102606879,782031.0056334964,0.0,-414492.1286,1.25
2025-04-03,1477808.6686403344,1702757.154036503,0.0,-140679.276,1.2612
2025-04-05,1131058.4583549325,700336.9541176102,0.0,0.0,0.9487
2025-04-06,1110200.239718744,840585.6391955799,0.0,0.0,0.9487
2025-04-07,1277929.6995153495,1518002.4683504745,0.0,0.0,1.09935
2025-04-08,1750254.9226069476,1179386.2545231476,0.0,0.0,1.09935
2025-04-09,1649956.4945805552,1781072.126130533,0.0,0.0,1.5112198062500002
2025-04-10,3117454.9223882924,4187980.9847847526,0.0,0.0,0.9487
2025-04-11,3883978.8864756213,4165998.0046990565,0.0,-6105.5016000000005,0.9487
2025-04-12,2623761.6486172364,786959.0893060601,0.0,-28824.76,0.9487
2025-04-13,1172827.3557584453,451328.9775638493,0.0,-11760.005000000001,0.9487
2025-04-14,1194595.7979994444,1943621.130089177,0.0,-225682.02500000002,0.9487
2025-04-15,1186313.2178569206,895815.5681673685,0.0,0.0,0.9487
2025-04-16,947115.5373672375,876072.3789871972,0.0,0.0,1.2299599
2025-04-17,1160686.9740856062,1818793.728575227,0.0,-38584.898,0.9487
2025-04-18,2293420.656762214,3024556.694976136,0.0,-183199.016,0.9487
2025-04-19,2227571.9978670976,1973658.942388301,0.0,0.0,0.9487
2025-04-20,1382494.2211151307,1841390.9320679435,0.0,0.0,0.9487
2025-04-21,1661513.0643179277,2063769.5397518976,0.0,0.0,1.2612
2025-04-22,2980395.370236594,1833500.4973696542,0.0,0.0,0.9487
2025-04-23,1230632.2642989429,1100158.5888328876,0.0,0.0,0.9487
2025-04-24,1770825.3843386213,2002028.1623815515,0.0,0.0,1.2612
2025-04-25,1379081.136583091,1751965.7897145965,0.0,0.0,1.51121980625
2025-04-26,1421352.2446910695,1600040.3852350381,0.0,0.0,1.51121980625
2025-04-27,2035891.1713521206,3071328.55097812,0.0,-59823.950000000004,1.51121980625
2025-04-28,2333397.6549702324,2335622.00032817,0.0,-87032.41,0.9487
2025-04-29,1978547.7559779994,2052102.7440962484,0.0,-25267.62584,1.2299599
2025-04-30,1949831.8539360554,2386101.956300127,0.0,-266046.378,1.2299599
2025-05-01,2598337.7163159805,2071498.7062347168,0.0,-138040.472,0.9487
2025-05-02,2283684.6607107976,2682120.5092238323,0.0,-242040.92000000004,0.9487
2025-05-03,1070993.310818864,1810966.9050379326,0.0,-23849.0,0.9487
2025-05-04,1349778.4044097338,1137332.6277635281,0.0,-30707.444000000003,0.9487
2025-05-05,1433670.9758128924,1907674.2964276809,0.0,-61234.298,0.78685
2025-05-06,1109788.617317263,2215426.8610256165,0.0,-54430.650200000004,0.8437797093749999
2025-05-07,1204656.0371353035,986430.0973760829,0.0,-599146.1900000001,0.9487
2025-05-08,1116613.3596511735,714178.6922257231,0.0,-173691.85600000003,0.9487
2025-05-09,973177.1001492904,890098.0418024954,0.0,0.0,0.84377970625
2025-05-10,902546.3573639081,924640.2969845033,0.0,0.0,1.0681099
2025-05-11,1045431.5636206298,1227050.1583733524,0.0,0.0,0.9487
2025-05-12,927224.5620147253,1464493.442320157,0.0,0.0,0.9487
2025-05-13,1227975.0007229347,1843352.8499670043,0.0,0.0,1.0681099
2025-05-14,1195134.3234271007,1440136.6339675863,0.0,0.0,0.9487
2025-05-15,1398882.8448531465,1331940.5027173082,0.0,0.0,0.9487
2025-05-16,1374274.8080340018,2348242.3183208327,0.0,-460436.22920000006,1.2299599
2025-05-17,2384632.593587721,2919197.0919653173,0.0,-301720.77400000003,0.9487
2025-05-18,1726198.8457593701,2145569.399795215,0.0,-295340.742,1.2299599
2025-05-19,1224358.841623874,1055644.2731871717,0.0,0.0,0.9487
2025-05-20,1386524.828966186,1297607.6860126131,0.0,0.0,0.9487
2025-05-21,1512301.3079448198,2686919.6820916096,0.0,0.0,1.09935
2025-05-22,2090481.80456102,3093819.9601639537,0.0,-351602.674,1.09935
2025-05-23,1145331.4866767328,776431.5341858029,0.0,-260312.9382,0.9487
2025-05-24,1329909.2977537427,1239187.4931283935,0.0,-214944.45080000002,0.9487
2025-05-25,1361153.0685549402,1834489.3585548177,0.0,-32920.816,0.9487
2025-05-26,885392.4491797842,1037226.6416095467,0.0,-150445.836,1.125039609375
2025-05-27,682727.95999129,1032243.2394071476,0.0,-49696.5036,0.9487
2025-05-28,1098567.0389869637,1056064.724443364,0.0,-141502.23400000003,1.3806099
2025-05-29,1031789.7312888514,886240.6958311296,0.0,-11189.963000000002,1.2299599
2025-05-30,1832624.9976611643,1368712.1688362784,0.0,-73514.13,1.2299599
2025-05-31,830726.7597776238,923878.1701917077,0.0,-61848.3254,0.9487
