target_date,expected_revenue,realized_revenue,net_revenue,soc_initial,soc_terminal
2025-02-01,2304117.9604897923,1521170.071956417,1091015.0289209285,100.0,100.0
2025-02-02,2134051.284283581,603151.1946698325,320880.7990487762,100.0,100.0
2025-02-03,2778165.113841762,1494430.1790335623,1104876.1232064376,100.0,100.0
2025-02-04,3090806.4896532353,1529217.575664869,1142749.8400697499,100.0,100.0
2025-02-05,2953733.1488971272,1708190.6171944286,1277933.4377335096,100.0,100.0
2025-02-06,2904385.8218308515,1740540.3335991648,1386334.8461172697,100.0,100.0
2025-02-07,2717372.5015215916,1435591.8184604575,1122815.7117486948,100.0,100.0
2025-02-08,2093650.8764562728,1151432.5996360686,793706.033309397,100.0,100.0
2025-02-09,2123826.359501472,527405.0286410204,370670.0128454329,100.0,100.0
2025-02-10,3026045.4931989736,1764354.0496891662,1406262.5248641234,100.0,100.0
2025-02-11,3058715.7001092294,2130333.226845922,1770410.2938026907,100.0,100.0
2025-02-12,2673098.3270354467,1507729.6899185954,1150472.2559470613,100.0,100.0
2025-02-13,2664528.765931375,1717333.4000932216,1287310.8370337817,100.0,100.0
2025-02-14,2833982.9358035196,1473833.384451654,1115344.0864624921,100.0,100.0
2025-02-15,2256540.649538424,1353812.169458934,1031361.3301567035,100.0,100.0
2025-02-16,1666874.8552594187,50147.99965551229,-103599.80408006384,100.0,100.0
2025-02-17,2697311.0426471806,1631663.528686809,1209742.0942416745,100.0,100.0
2025-02-18,3162753.4645551173,1853176.4148858134,1426160.7071843925,100.0,100.0
2025-02-19,2934872.2896924773,1803985.2139160726,1374632.7857380607,100.0,100.0
2025-02-20,3057901.902946529,2017060.1731432353,1596203.4488092274,100.0,100.0
2025-02-21,3229681.1382856546,2277013.083045461,1841742.0793820268,100.0,100.0
2025-02-22,2620610.875775669,2344483.6410928247,1910534.9856861772,100.0,100.0
2025-02-23,2421994.395922151,1092906.584212196,851311.6920051456,100.0,100.0
2025-02-24,2578676.880920364,1845246.0893053901,1561451.234498717,100.0,100.0
2025-02-25,2422399.4109461033,1394566.7915254468,1149016.0895928778,100.0,100.0
2025-02-26,2666459.9565498326,1294736.0421967178,945551.6116829293,100.0,100.0
2025-02-27,2434660.968805231,1129669.2528637205,988053.3420554406,100.0,100.0
2025-02-28,2047524.3618516622,1598510.5973026692,1285956.8318101638,100.0,100.0
2025-03-01,1824293.242764804,1304815.217731437,996565.3524893366,100.0,100.0
2025-03-02,2034007.9842183844,726310.1310750758,489191.47522711026,100.0,100.0
2025-03-03,2450995.545279301,1663307.6749387651,1234411.3405373385,100.0,100.0
2025-03-04,3228033.2872450696,1410110.8086726777,981480.5349018475,100.0,100.0
2025-03-05,3756464.66733228,1973472.655023869,1615777.1351289097,100.0,100.0
2025-03-06,3473613.9090682263,1295936.4420545131,869585.2359184389,100.0,100.0
2025-03-07,3025578.735370603,1668668.1544086132,1382042.829215601,100.0,100.0
2025-03-08,2427665.3948825654,1249686.9416568158,965902.1433081789,100.0,100.0
2025-03-09,2059789.9779336643,1354721.3635776786,1079413.7931022905,100.0,100.0
2025-03-10,2269588.090770129,1054781.9566807589,739528.0859428807,100.0,100.0
2025-03-11,2551219.9174081027,1352911.3102054237,997365.1389470443,100.0,100.0
2025-03-12,2961455.5753734456,1383875.199572057,1131774.4819258205,100.0,100.0
2025-03-13,4099052.4552312214,1182938.4514545703,959667.9700450745,100.0,100.0
2025-03-14,3471933.0022923215,674348.7275389223,476115.3672587804,100.0,100.0
2025-03-15,1578321.5393163087,802476.7802679018,697956.8383586623,100.0,100.0
2025-03-16,1248044.3738781088,791414.2884911551,612233.2216195824,100.0,100.0
2025-03-17,1939490.0256542782,748838.8973453382,572143.5882485122,100.0,100.0
2025-03-18,2569239.9993602284,836242.5441462582,558317.8778159556,100.0,100.0
2025-03-19,3184155.7172740144,1453772.4989049223,1178148.4091949894,100.0,100.0
2025-03-20,3735235.1488579256,1707254.293703157,1356051.028293802,100.0,100.0
2025-03-21,4038383.955506457,1932208.5456786896,1685549.0029442455,100.0,100.0
2025-03-22,3293988.5032431413,1845702.0088299268,1720906.7867204505,100.0,100.0
2025-03-23,1972746.9007863305,235762.3883307291,36495.91478125486,100.0,100.0
2025-03-24,1784203.855079613,576101.6187746768,468640.3625929514,100.0,100.0
2025-03-25,1756499.2296803244,894793.3458414305,618084.8031357997,100.0,100.0
2025-03-26,2236155.568044542,1189374.7746780121,944331.7787233915,100.0,100.0
2025-03-27,2852909.3655002587,1522613.7170578605,1205628.2705697827,100.0,100.0
2025-03-28,3242226.414866784,1363243.8988823306,1079197.3421990664,100.0,100.0
2025-03-29,3717571.447568303,2927091.783353746,2600195.469089395,100.0,100.0
2025-03-30,3866071.569036034,1074306.506898669,871971.6147993631,100.0,100.0
2025-03-31,3280480.5102405427,1658124.2306777197,1385120.9207266937,100.0,100.0
2025-04-01,2403187.9788828045,1768641.6299637724,1523029.3272669795,100.0,100.0
2025-04-02,3138501.050610164,937996.499184159,653656.0653884923,100.0,100.0
2025-04-03,3099011.210755242,1920261.7891556746,1668007.7237774138,100.0,100.0
2025-04-05,2770407.5536687407,719502.0611741431,511046.20979477087,100.0,100.0
2025-04-06,2904176.0840263856,982078.582765687,781929.9206405381,100.0,100.0
2025-04-07,3540429.928726159,1925971.1554505625,1713356.803334292,100.0,100.0
2025-04-08,3822853.978207256,1503607.7626141128,1253036.636688285,100.0,100.0
2025-04-09,5355509.899111177,2037627.7399676654,1709294.490322683,100.0,100.0
2025-04-10,7862581.918003921,4429633.679549944,4216438.411431585,100.0,100.0
2025-04-11,7360403.616710192,4518372.585849769,4311998.876394256,100.0,100.0
2025-04-12,4486016.061642037,998138.5866493277,797686.169061426,100.0,100.0
2025-04-13,2833627.5988188838,743225.662895078,546918.2919381784,100.0,100.0
2025-04-14,2851476.7233972927,2181638.2615105314,1978219.5532666545,100.0,100.0
2025-04-15,2652203.9144016732,1039856.2016499006,831241.9245598242,100.0,100.0
2025-04-16,2674297.5675124857,987892.2492312326,776760.6941728732,100.0,100.0
2025-04-17,4223669.873216867,1962939.1773632478,1748962.9808382317,100.0,100.0
2025-04-18,5307130.7185481135,3251516.681637479,3042108.2887455313,100.0,100.0
2025-04-19,4435225.586433748,2143207.2542859805,1936048.5838457583,100.0,100.0
2025-04-20,3626619.660512771,1985777.471801478,1777009.7447860183,100.0,100.0
2025-04-21,5232908.182656222,2233867.413858516,1944767.6403638464,100.0,100.0
2025-04-22,4763948.812407528,1996254.0651696546,1776334.5200565362,100.0,100.0
