target_date,expected_revenue,realized_revenue,net_revenue,soc_initial,soc_terminal
2025-02-01,2304117.9604897923,1783416.950710275,1379800.8702873155,100.0,20.0
2025-02-02,1854399.7815490414,562626.7514424904,292063.0051729963,20.0,20.0
2025-02-03,2504277.6681594956,1608158.269000488,1179601.710623069,20.0,20.0
2025-02-04,2792960.527525395,1606549.8095817838,1181136.0064594066,20.0,20.0
2025-02-05,2642693.285499426,1698326.7007474294,1268195.5045081284,20.0,20.0
2025-02-06,2613001.914999373,1722661.2131506377,1368938.1924948352,20.0,20.0
2025-02-07,2408813.216425534,1488094.5524288074,1136602.572744756,20.0,20.0
2025-02-08,1808364.5150286318,1201484.1304730223,804977.9202046858,20.0,20.0
2025-02-09,1826687.8810261677,543186.775343952,285209.7103204451,20.0,20.0
2025-02-10,2733592.955494687,1824182.656161155,1466693.3735282514,20.0,20.0
2025-02-11,2760630.2496580607,2125814.0274659605,1765882.351073909,20.0,20.0
2025-02-12,2379988.0504864957,1551629.0411463776,1195040.520511915,20.0,20.0
2025-02-13,2364298.8060787898,1753522.9222644386,1323981.278156276,20.0,20.0
2025-02-14,2534738.2817611787,1458711.6487618755,1100410.7972008358,20.0,20.0
2025-02-15,1957501.8854542018,1283447.6213861124,1021640.6011740641,20.0,20.0
2025-02-16,1389094.6617638555,84619.2610332128,-104009.78914972633,20.0,20.0
2025-02-17,2407882.992447173,1677284.1167643226,1255796.844370673,20.0,20.0
2025-02-18,2856672.0770883546,1856200.4606868257,1429305.0153045328,20.0,20.0
2025-02-19,2629444.0625959025,1826839.1837466937,1397627.2755165475,20.0,20.0
2025-02-20,2751888.6785945017,1998829.0149101124,1644154.0998504884,20.0,20.0
2025-02-21,2919012.525007463,2301793.080853308,1866750.750611485,20.0,20.0
2025-02-22,2303439.7265730333,2363029.375920672,1929437.6578137006,20.0,20.0
2025-02-23,2106687.3477411307,1018150.0784063798,757017.0582449132,20.0,20.0
2025-02-24,2260793.2574930307,1872073.1870477975,1541590.2906341348,20.0,20.0
2025-02-25,2117399.649934386,1460386.7396256607,1176238.4426467554,20.0,20.0
2025-02-26,2352901.3687598673,1270483.820560297,920890.9983419946,20.0,20.0
2025-02-27,2129708.3226013063,1112295.2516506254,970679.3408423455,20.0,20.0
2025-02-28,1747278.2053664,1571861.499764907,1225964.3778054994,20.0,20.0
2025-03-01,1518225.8494070047,1333083.9997642403,997401.9184254443,20.0,20.0
2025-03-02,1736654.0465951015,770724.7873159054,445178.27231492265,20.0,20.0
2025-03-03,2140037.6470393096,1701841.7936352505,1273970.1970493337,20.0,20.0
2025-03-04,2881871.7107189517,1366878.1907808653,935953.507039245,20.0,20.0
2025-03-05,3378808.8721323814,2018102.0523550434,1661785.2003106412,20.0,20.0
2025-03-06,3082833.468658839,1291873.5080599757,886559.9903761405,20.0,20.0
2025-03-07,2680167.799117968,1672896.2752890831,1386543.1227802937,20.0,20.0
2025-03-08,2072423.0117070053,1405019.9623375137,1048845.6113828358,20.0,20.0
2025-03-09,1738901.7176210557,1453807.1173096471,1108462.0945598567,20.0,20.0
2025-03-10,1938304.6328507802,1163289.7670329893,805030.9813813342,20.0,20.0
2025-03-11,2180280.0777829713,1381466.646959446,956957.8712000092,20.0,20.0
2025-03-12,2577517.074120184,1323195.3060366677,1036521.4613905088,20.0,20.0
2025-03-13,3703921.34544498,1155590.499431201,827788.6074721264,20.0,20.0
2025-03-14,3187510.7975655166,604681.1698048802,409987.8903313384,20.0,20.0
