date,expected_revenue,realized_revenue,cvar_zeta,cvar_value,cycles
2025-02-01,1444556.1558692718,1096891.7999084769,0.0,0.0,1.8862
2025-02-02,728204.0808586518,364974.77944790793,0.0,-110256.16,1.4230500000000001
2025-02-03,1181921.0431985662,1299423.6989545356,0.0,0.0,1.8862
2025-02-04,1471888.7445449617,1319184.475187578,0.0,0.0,1.8862
2025-02-05,1580051.7351208082,1451628.2499647436,0.0,0.0,1.8862
2025-02-06,1286599.6699093122,1392341.8879545464,0.0,-211334.564,1.5737
2025-02-07,1174403.3010396578,1150500.4069594136,0.0,-106996.9616,1.875
2025-02-08,1068117.0347251352,811519.4547915078,0.0,0.0,1.7043098999999997
2025-02-09,671758.1275372168,438818.2169272103,0.0,0.0,0.9944297093750001
2025-02-10,1164191.6195189075,1491005.0364784012,0.0,0.0,1.5737
2025-02-11,1767637.0051517787,1765285.4578449305,0.0,0.0,1.5993896125
2025-02-12,1228153.7379310487,1208173.2199072542,0.0,0.0,1.5737
2025-02-13,1418819.4344149858,1447213.6878196134,0.0,0.0,1.8862
2025-02-14,1191261.5068362143,1178117.7803809494,0.0,0.0,1.7043098999999997
2025-02-15,1339628.8214645197,999937.0296663553,0.0,-256069.6608,1.5625
2025-02-16,479058.46071255166,50978.21572174823,0.0,-204597.915,0.9375
2025-02-17,965184.0278514115,1220538.189221611,0.0,0.0,1.8862
2025-02-18,1631746.0416379333,1575643.4588182836,0.0,0.0,1.8862
2025-02-19,1515265.5440760495,1596909.5397584296,0.0,0.0,1.8974
2025-02-20,1308297.0730803474,1498725.4085043934,0.0,0.0,1.8862
2025-02-21,1552567.202836139,2123269.8617166625,0.0,0.0,1.8974
2025-02-22,1605069.9316938478,1983100.6492294478,0.0,0.0,1.8974
2025-02-23,782967.0461956471,757924.091234038,0.0,-27468.2154,1.09935
2025-02-24,1164599.015669689,1555749.6083080184,0.0,-89249.41720000001,1.25
2025-02-25,1068602.7373631774,1178597.4709609703,0.0,0.0,1.50001980625
2025-02-26,1065816.9183792549,1021308.4301438809,0.0,-50933.475,1.5625
2025-02-27,1003299.0041064995,1006009.8058003407,0.0,-136398.83860000002,0.9375
2025-02-28,811230.923857108,1048278.506065687,0.0,-34567.41032,1.5737
2025-03-01,818168.8257846521,1004809.1715129252,0.0,0.0,1.5625
2025-03-02,566928.40603665,512140.8385890645,0.0,0.0,1.25
2025-03-03,1179866.4628506931,1242316.3921410271,0.0,0.0,1.8862
2025-03-04,1165471.8376607597,1034448.6265487635,0.0,0.0,1.8862
2025-03-05,1549511.4793009127,1580845.6901299676,0.0,-157160.902,1.5737
2025-03-06,1323836.6155402607,1058103.036325229,0.0,0.0,1.875
2025-03-07,1308023.2245130823,1425381.10251836,0.0,-99820.296,1.25
2025-03-08,1116495.8205768112,1169390.4324443592,0.0,-3203.3412000000003,1.3806099
2025-03-09,933384.5523406845,1065194.7546711746,0.0,0.0,1.25
2025-03-10,950516.7725653148,707183.6446274171,0.0,0.0,1.5625
2025-03-11,1145374.7863617619,971106.37812907,0.0,0.0,1.5625
2025-03-12,1080889.9736985688,1106164.534861788,0.0,-116727.34980000001,1.09935
2025-03-13,1219665.3018488698,932922.2056057792,0.0,-109934.16940000001,0.9944297093750001
2025-03-14,1869197.6978237196,475401.0281514606,0.0,0.0,0.9487
2025-03-15,598007.512022377,552839.4379033569,0.0,-19194.91508,0.47435
2025-03-16,410445.6148661123,562001.5078116358,0.0,-24831.4038,0.9487
2025-03-17,539625.9492460169,535426.422615589,0.0,-11300.459,1.125039609375
2025-03-18,1000549.1033323704,576488.4915497012,0.0,0.0,1.2299599
